neg,neu,pos
0.115,0.692,0.192
0.0,0.902,0.098
0.107,0.687,0.206
0.0,0.606,0.394
0.0,1.0,0.0
0.119,0.828,0.053
0.0,1.0,0.0
0.045,0.874,0.08
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.792,0.208
0.18,0.82,0.0
0.085,0.81,0.105
0.0,1.0,0.0
0.153,0.69,0.158
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.769,0.231
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.643,0.357
0.0,0.756,0.244
0.085,0.621,0.294
0.0,1.0,0.0
0.0,1.0,0.0
0.222,0.778,0.0
0.0,0.788,0.212
0.0,0.861,0.139
0.225,0.775,0.0
0.0,1.0,0.0
0.0,0.878,0.122
0.0,1.0,0.0
0.121,0.805,0.074
0.0,1.0,0.0
0.0,0.92,0.08
0.0,1.0,0.0
0.0,0.93,0.07
0.144,0.856,0.0
0.2,0.8,0.0
0.0,0.708,0.292
0.144,0.773,0.083
0.16,0.631,0.209
0.0,0.944,0.056
0.338,0.608,0.054
0.367,0.633,0.0
0.0,1.0,0.0
0.162,0.838,0.0
0.0,0.87,0.13
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.143,0.8,0.057
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.893,0.107
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.126,0.729,0.146
0.0,1.0,0.0
0.0,1.0,0.0
0.268,0.61,0.122
0.0,0.757,0.243
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.932,0.068
0.0,0.802,0.198
0.25,0.636,0.114
0.164,0.836,0.0
0.252,0.748,0.0
0.136,0.704,0.161
0.241,0.639,0.12
0.0,0.769,0.231
0.0,1.0,0.0
0.161,0.511,0.328
0.13,0.796,0.074
0.156,0.844,0.0
0.0,1.0,0.0
0.0,0.773,0.227
0.0,0.896,0.104
0.0,1.0,0.0
0.0,1.0,0.0
0.315,0.685,0.0
0.216,0.784,0.0
0.0,1.0,0.0
0.162,0.838,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.714,0.286
0.0,1.0,0.0
0.087,0.798,0.114
0.0,0.328,0.672
0.274,0.435,0.291
0.048,0.952,0.0
0.424,0.576,0.0
0.083,0.917,0.0
0.091,0.909,0.0
0.0,0.905,0.095
0.15,0.727,0.123
0.178,0.759,0.063
0.156,0.757,0.087
0.0,1.0,0.0
0.0,1.0,0.0
0.176,0.704,0.12
0.109,0.891,0.0
0.0,1.0,0.0
0.139,0.861,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.216,0.597,0.187
0.0,0.82,0.18
0.0,1.0,0.0
0.171,0.558,0.271
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.179,0.821,0.0
0.0,1.0,0.0
0.265,0.735,0.0
0.149,0.851,0.0
0.0,0.856,0.144
0.222,0.778,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.119,0.734,0.147
0.17,0.681,0.149
0.0,1.0,0.0
0.0,0.762,0.238
